line1,line2,conn_a,conn_b,line3,id,cable_ref,variant,invert,qty,group,class,end_a_device,end_a_port,end_a_loc,end_b_device,end_b_port,end_b_loc,note,side
SWITCH,PORT ?,RJ45,RJ45,N36 -> V3 #2,NET-N36-A,36,TAG,no,1,ARMONIA,DATA,Network switch,Port TBC,UNKNOWN,Bias V3 #2,AESOP primary (rear),RACK,Armonía control · switch unlocated (D8),A
SWITCH,PORT ?,RJ45,etherCON,N37 -> Q5,NET-N37-A,37,TAG,no,1,ARMONIA,DATA,Network switch,Port TBC,UNKNOWN,Bias Q5,etherCON ETH1 primary,RACK,Armonía control · switch unlocated (D8),A
SWITCH,PORT ?,RJ45,RJ45,N38 -> Q2 #2,NET-N38-A,38,TAG,no,1,ARMONIA,DATA,Network switch,Port TBC,UNKNOWN,Bias Q2 #2,ETHERNET,RACK,Armonía control · switch unlocated (D8),A
SWITCH,PORT ?,RJ45,RJ45,N39 -> V3 #1,NET-N39-A,39,TAG,no,1,ARMONIA,DATA,Network switch,Port TBC,UNKNOWN,Bias V3 #1,AESOP primary (rear),RACK,Armonía control · switch unlocated (D8),A
SWITCH,PORT ?,RJ45,RJ45,N40 -> Q2 #1,NET-N40-A,40,TAG,no,1,ARMONIA,DATA,Network switch,Port TBC,UNKNOWN,Bias Q2 #1,ETHERNET,RACK,Armonía control · switch unlocated (D8),A
