line1,line2,conn_a,conn_b,line3,id,cable_ref,variant,invert,qty,group,class,end_a_device,end_a_port,end_a_loc,end_b_device,end_b_port,end_b_loc,note,side
V3 #2,CH1 IN,XLR-F,XLR-M,A15 -> SP2120,AUD-A15-B,15,TAG,no,1,SP2120-OUT,AUDIO,Bias V3 #2,ANALOG CH1 IN,RACK,Drawmer SP2120,Output L,RACK,Limiter out to signal hub,B
V3 #2,CH2 IN,XLR-F,XLR-M,A16 -> SP2120,AUD-A16-B,16,TAG,no,1,SP2120-OUT,AUDIO,Bias V3 #2,ANALOG CH2 IN,RACK,Drawmer SP2120,Output R,RACK,Limiter out to signal hub,B
Q5,IN 1,XLR-F,XLR-M,A17 -> V3 #2,AUD-A17-B,17,TAG,no,1,V3#2-LINEOUT,AUDIO,Bias Q5,ANALOG IN 1,RACK,Bias V3 #2,ANALOG CH1 OUT (pre-DSP),RACK,Q5 input is XLR — the documented Phoenix adapter may be unnecessary (D2),B
Q2 #2,LINE CH1,PHNX 12P,XLR-M,A18 -> V3 #2,AUD-A18-B,18,TAG,no,1,V3#2-LINEOUT,AUDIO,Bias Q2 #2,LINE input CH1,RACK,Bias V3 #2,ANALOG CH2 OUT (pre-DSP),RACK,Pre-DSP · XLR-M to Phoenix adapter,B
V3 #1,CH1 IN,XLR-F,XLR-M,A19 -> ?,AUD-A19-B,19,TAG,yes,1,,AUDIO,Bias V3 #1,ANALOG CH1 IN,RACK,UNVERIFIED,UNVERIFIED,UNKNOWN,V3 has only 2 line outs — documented Line Out 3 does not exist (D1). Trace before relabelling,B
